Text,Size,Color,Angle,Font,Repeat,URL
Algebra,1,Random,Random,Random,Yes,
Functions,1,Random,Random,Random,Yes,
Mathematics,1,Random,Random,Random,Yes,
Geometry,1,Random,Random,Random,Yes,
Reasoning,1,Random,Random,Random,Yes,
Idea,1,Random,Random,Random,Yes,
Think,1,Random,Random,Random,Yes,
Graphs,1,Random,Random,Random,Yes,
Linear,1,Random,Random,Random,Yes,
Factoring,1,Random,Random,Random,Yes,
Equations,1,Random,Random,Random,Yes,
Quadratic,1,Random,Random,Random,Yes,
Rational,1,Random,Random,Random,Yes,
Radical,1,Random,Random,Random,Yes,
Exponential,1,Random,Random,Random,Yes,
Logarithmic,1,Random,Random,Random,Yes,
Applications,1,Random,Random,Random,Yes,
Inequalities,1,Random,Random,Random,Yes,
Algebraic Operations,1,Random,Random,Random,Yes,
Complex Numbers,1,Random,Random,Random,Yes,
Real Numbers,1,Random,Random,Random,Yes,
Formulas,1,Random,Random,Random,Yes,
Practice,1,Random,Random,Random,Yes,
